SOURCE	REFERENCE	REFERENCE_PAGE	GROUPID	_EDITOR	COMMENT	VERSION	_COMMENT_INTERN	EXAMPLEID
NKRJa			IM0010	Imke		1		ru0100161
NKRJa			IM0014	Imke	This example has been adapted from the original source.	1		ru0100162
BM			IM0017	Imke	This example has been adapted from the original source.	1		ru0100163
NKRJa			IM0018	Imke	This example has been adapted from the original source.	1		ru0100164
NKRJa			IM0018	Imke		1		ru0100165
NKRJa			IM0019	Imke	This example has been adapted from the original source.	1		ru0100166
NKRJa			IM0023	Imke	This example has been adapted from the original source.	1		ru0100167
NKRJa			IM0024	Imke		1		ru0100168
NKRJa			IM0025	Imke	This example has been adapted from the original source.	1		ru0100169
NKRJa			IM0026	Imke	This example has been adapted from the original source.	1		ru0100170
NKRJa			IM0027	Imke		1		ru0100171
NKRJa			IM0028	Imke	This example has been adapted from the original source.	1		ru0100172
NKRJa			IM0029	Imke		1		ru0100173
NKRJa			IM0030	Imke		1		ru0100174
NKRJa			IM0031	Imke		1		ru0100175
Očyna (2010)			SB0001	Sandra	This example has been adapted from the original source.	1		ru0100176
Očyna (2010)			SB0002	Sandra	This example has been adapted from the original source.	1		ru0100177
NKRJa			SB0003	Sandra		1		ru0100178
NKRJa			SB0003	Sandra		1		ru0100179
NKRJa			SB0003	Sandra		1		ru0100180
NKRJa			SB0003	Sandra		1		ru0100181
NKRJa			SB0003	Sandra		1	Wie soll mehrfache Alignierung eines Beispiels markiert werden?	ru0100182
NKRJa			SB0004	Sandra		1		ru0100183
NKRJa			SB0005	Sandra		1		ru0100184
NKRJa			SB0006	Sandra	This example has been adapted from the original source.	1		ru0100185
NKRJa			SB0007	Sandra		1		ru0100186
NKRJa			SB0008	Sandra		1		ru0100187
NKRJa			SB0008	Sandra	This example has been adapted from the original source.	1		ru0100188
NKRJa			SB0009	Sandra		1		ru0100189
NKRJa			SB0009	Sandra		1		ru0100190
NKRJa			SB0010	Sandra	This example has been adapted from the original source.	1		ru0100191
NKRJa			SB0011	Sandra		1		ru0100192
NKRJa			SB0012	Sandra	This example has been adapted from the original source.	1	Wie soll mehrfache Alignierung eines Beispiels markiert werden?	ru0100193
NKRJa			SB0012	Sandra		1		ru0100194
NKRJa			SB0012	Sandra		1		ru0100195
NKRJa			SB0012	Sandra		1		ru0100196
NKRJa			SB0013	Sandra		1		ru0100197
NKRJa			SB0013	Sandra		1		ru0100198
			SB0028	Sandra		1		ru0100199
			SB0028	Sandra		1		ru0100200
			SB0028	Sandra		1		ru0100202
			SB0029	Sandra		1		ru0100201
			SB0030	Sandra		1		ru0100203
			SB0031	Sandra		1		ru0100204
			SB0031	Sandra		1		ru0100205
			SB0032	Sandra		1		ru0100206
			SB0032	Sandra		1		ru0100207
			SB0033	Sandra		1		ru0100208
			SB0034	Sandra		1		ru0100209
			SB0037	Sandra		1		ru0100210
			SB0040	Sandra		1		ru0100211
			SB0045	Sandra		1		ru0100212
			SB0049	Sandra		1		ru0100213
			SB0049	Sandra		1		ru0100214
			SB0055	Sandra		1		ru0100215
			SB0056	Sandra		1		ru0100216
			SB0070	Sandra		1		ru0100217
			SB0071	Sandra		1		ru0100218
			SB0072	Sandra		1		ru0100219
			SB0086	Sandra	This example has been adapted from the original source.	1		ru0100220
			SB0086	Sandra	This example has been adapted from the original source.	1		ru0100221
			SB0086	Sandra	This example has been adapted from the original source.	1		ru0100222
			SB0086	Sandra	This example has been adapted from the original source.	1		ru0100223
			SB0086	Sandra	This example has been adapted from the original source.	1		ru0100224
			SB0086	Sandra	This example has been adapted from the original source.	1		ru0100225
			SB0086	Sandra	This example has been adapted from the original source.	1		ru0100226
			SB0086	Sandra	This example has been adapted from the original source.	1		ru0100227
			SB0088	Sandra		1		ru0100228
			SB0089	Sandra		1		ru0100229
			SB0089	Sandra		1		ru0100230
			SB0089	Sandra		1		ru0100231
			SB0098	Sandra		1	diese Beispiele sollten parallel geführt werden	ru0100232
			SB0105	Sandra		1		ru0100233
			SB0106	Sandra		1		ru0100234
			SB0109	Sandra		1		ru0100235
			SB0110	Sandra		1		ru0100236
			SB0111	Sandra	This example has been adapted from the original source.	1		ru0100237
			SB0111	Sandra	This example has been adapted from the original source.	1		ru0100238
			SB0112	Sandra		1		ru0100239
